Status,Tag Code,State,Agency,Rearing Code,Location (Facility or Wild Stock),Year Brood,Stock,Ancestry,Species,Stage,Weight,Length,Year Released,Release Site,Date Last Released,Ad Clipped and Tagged,Total Released,Experiment Code,Region Released,Mark Code,Thermal Mark Hatch Code,Thermal Mark RBr,Mark ID,Comment (PSMFC),,,Row Labels
TAGGED,44028,AK,ADFG,H,CRYSTAL LAKE,1991,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,14.41,109,1993,CRYSTAL CR 106-44,5/13/1993,23828,222472,,1,AD,,,,,,,MONSOON LK 212-20
TAGGED,44029,AK,ADFG,H,CRYSTAL LAKE,1991,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,14.41,109,1993,CRYSTAL CR 106-44,5/13/1993,25667,240517,,1,AD,,,,,,,MONTANA CR 111-50
TAGGED,44238,AK,ADFG,H,CRYSTAL LAKE,1992,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,8.26,109,1994,CRYSTAL CR 106-44,5/13/1994,25255,236601,,1,AD,,,,,,,MONTANA CR 247-41
TAGGED,44239,AK,ADFG,H,CRYSTAL LAKE,1992,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,8.87,111,1994,CRYSTAL CR 106-44,5/13/1994,24911,206791,,1,AD,,,,,,,MOOSE CR 247-50
TAGGED,44431,AK,ADFG,H,CRYSTAL LAKE,1993,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,9.99,115,1995,CRYSTAL CR 106-44,5/15/1995,19929,241109,,1,AD,,,,REPLICATE TO 044430,,,NEETS BAY 101-90
TAGGED,44430,AK,ADFG,H,CRYSTAL LAKE,1993,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,10.69,117,1995,CRYSTAL CR 106-44,5/15/1995,29028,210789,,1,AD,,,,REPLICATE TO 044431,,,NINILCHIK R 244-20
TAGGED,44610,AK,ADFG,H,CRYSTAL LAKE,1994,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,17.6,117,1996,CRYSTAL CR 106-44,5/17/1996,24117,244027,,1,AD,,,,,,,OHMER CR 108-40
TAGGED,44611,AK,ADFG,H,CRYSTAL LAKE,1994,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,17.6,117,1996,CRYSTAL CR 106-44,5/17/1996,26311,257255,,1,AD,,,,,,,OLDS R 259-24
TAGGED,44525,AK,ADFG,H,CRYSTAL LAKE,1995,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,15.92,113,1997,CRYSTAL CR 106-44,5/29/1997,9841,54918,,1,AD,,,,REP: 044526 044619 044717 044718,,,PASSAGE CANAL 224-10
TAGGED,44526,AK,ADFG,H,CRYSTAL LAKE,1995,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,15.92,113,1997,CRYSTAL CR 106-44,5/29/1997,9868,53699,,1,AD,,,,REP: 044525 044619 044717 044718,,,PAXSON LK 212-20
TAGGED,44717,AK,ADFG,H,CRYSTAL LAKE,1995,CRYSTAL CR,ANDREW CR 108-40,CHINOOK,SMOLT       ,15.93,113,1997,CRYSTAL CR 106-44,5/29/1997,9806,51720,,1,AD,,,,REP: 044525 044526 044619 044718,,,PORT ARMSTRONG109-10
